iter	Accuracy	MultiClass
0	0.6930305065	0.9959251709
1	0.6974242134	0.9221325344
2	0.7017075979	0.8671258145
3	0.7021105142	0.8249157956
4	0.7024414812	0.7922691803
5	0.7037989256	0.7656143704
6	0.7044944359	0.7439576058
7	0.7046623177	0.7273868521
8	0.7049213354	0.7126741597
9	0.7050796239	0.7009456544
10	0.7054489639	0.6911207871
11	0.7086627015	0.6788144331
12	0.7113632003	0.6694386734
13	0.7158240599	0.6608955157
14	0.7179969302	0.6540845295
15	0.7191097467	0.648574878
16	0.720443208	0.6441638034
17	0.7212682272	0.6400981014
18	0.7219925173	0.6362800659
19	0.7224098235	0.6335528473
20	0.7232732157	0.6307678146
21	0.7240934382	0.6282444946
22	0.724707406	0.6262586182
23	0.7249424405	0.624168479
24	0.7254796623	0.622348495
25	0.7259209517	0.6208061342
26	0.7263670376	0.6194511388
27	0.7265732924	0.6181427934
28	0.7270001919	0.6167197839
29	0.7275757866	0.6149831609
30	0.7277388718	0.6138015763
31	0.7283000767	0.6127677736
32	0.7286166539	0.6116326934
33	0.7288804682	0.6107522675
34	0.7294656562	0.6099756746
35	0.7296575211	0.6093353457
36	0.7300508442	0.6086339466
37	0.7302427091	0.6078798951
38	0.7304201842	0.6071526825
39	0.7304873369	0.6066139581
40	0.7305305065	0.6061251728
41	0.7307319647	0.6054452054
42	0.7308183039	0.6047252694
43	0.7310293553	0.6041465932
44	0.73125	0.6036858437
45	0.7313747122	0.6034214182
46	0.7316385265	0.6029241189
47	0.7317488488	0.6024984821
48	0.7318255948	0.6020987104
49	0.7318975441	0.6017613847
50	0.7320750192	0.6014417625
51	0.7321757483	0.6011512988
52	0.7323340368	0.6008321498
53	0.7324059862	0.6004659607
54	0.7327849194	0.6000792349
55	0.732866462	0.5998424718
56	0.7329384114	0.599675475
57	0.7331542594	0.5992304224
58	0.7332549885	0.5989870827
59	0.7333940906	0.5987937138
60	0.7333653108	0.5984888239
61	0.7334564467	0.5982009702
62	0.7335044129	0.5978144634
63	0.7336722947	0.5975743955
64	0.7337586339	0.5972998967
65	0.7337778204	0.5970599652
66	0.7338881427	0.5968345595
67	0.7338929394	0.5966529834
68	0.7338449731	0.5964578551
69	0.7340848043	0.5962219695
70	0.7341375672	0.5959009248
71	0.7341807368	0.5956483505
72	0.7340656178	0.5953760482
73	0.7341663469	0.5951666542
74	0.7346028396	0.5947145502
75	0.7346939754	0.5944657111
76	0.7347035687	0.5942562536
77	0.7348426708	0.5939549162
78	0.7349386032	0.5937896078
79	0.7350345357	0.5935922319
80	0.7350441289	0.5934207119
81	0.7350249424	0.5932278346
82	0.7350393323	0.5929925751
83	0.7351640445	0.5928231742
84	0.7353175365	0.5926210086
85	0.7354614351	0.5924460587
86	0.7354950115	0.5922836004
87	0.7357108596	0.5920253364
88	0.7358739447	0.5918263121
89	0.7359410975	0.5916970157
90	0.7359650806	0.5915227718
91	0.7360945894	0.5914202115
92	0.7361041827	0.5912001634
93	0.7362624712	0.5910276186
94	0.7363008442	0.5908799484
95	0.7363056408	0.5907502793
96	0.7364735226	0.5905976438
97	0.736583845	0.5904612054
98	0.7365358787	0.5903283114
99	0.7365694551	0.5901356055
100	0.7366797774	0.5899971178
101	0.7366701842	0.5898034031
102	0.7366893707	0.5897137535
103	0.7367805065	0.5896208902
104	0.7369100153	0.5894303013
105	0.7370874904	0.5893470395
106	0.7371210668	0.589215945
107	0.7371834229	0.5890149166
108	0.7372889486	0.5888743013
109	0.737384881	0.5887185426
110	0.7374088642	0.5885367457
111	0.7374760169	0.5883766842
112	0.737538373	0.5881917211
113	0.7374856101	0.5880899282
114	0.7377302379	0.587969935
115	0.7375719493	0.5878454256
116	0.7376726784	0.5877017905
117	0.737792594	0.5875506695
118	0.7379316961	0.587366674
119	0.7379748657	0.5872810423
120	0.7380372218	0.5870950583
121	0.7380180353	0.5869811962
122	0.7379748657	0.5868519316
123	0.7381043745	0.5867169677
124	0.7381283576	0.586616949
125	0.7381955104	0.5864683057
126	0.7382818496	0.5863616203
127	0.7383537989	0.5862486858
128	0.7382482732	0.5861619584
129	0.738277053	0.5861187502
130	0.7383394091	0.5859495434
131	0.7384209517	0.5858483915
132	0.7384353415	0.5857792976
133	0.7384881044	0.585659941
134	0.7385216807	0.5855499646
135	0.7384976976	0.5854224198
136	0.7386320031	0.5852977315
137	0.7386607828	0.5852016176
138	0.7386799693	0.5850789909
139	0.7387279355	0.5849954554
140	0.7387039524	0.584906169
141	0.7386511896	0.5847806599
142	0.7388478511	0.5846513974
143	0.738785495	0.584504969
144	0.7389102072	0.5843549131
145	0.7390013431	0.5842884679
146	0.7390493093	0.5841863057
147	0.7392123945	0.5840861085
148	0.7393179202	0.5840057734
149	0.7392555641	0.5839159574
150	0.7393562932	0.5838025754
151	0.739409056	0.5836724739
152	0.7393610898	0.5835846792
153	0.739370683	0.5835363547
154	0.7394905986	0.5834017263
155	0.7395001919	0.5833110998
156	0.7396297007	0.5832321689
157	0.73970165	0.5831098164
158	0.7397592095	0.5830476106
159	0.7397879893	0.5829513994
160	0.7399366846	0.5828406437
161	0.7400613968	0.582597903
162	0.740109363	0.5825014569
163	0.7401285495	0.5824031767
164	0.7401765157	0.5823208821
165	0.740262855	0.5822176693
166	0.7401957022	0.5821817797
167	0.7403156178	0.5820632884
168	0.7403108212	0.5819741128
169	0.7403156178	0.5818582611
170	0.7403300077	0.5817719018
171	0.7403491942	0.5816982628
172	0.740363584	0.5815972777
173	0.7403396009	0.581509723
174	0.7403587874	0.581456409
175	0.7403683807	0.5813487465
176	0.7405746355	0.5812213517
177	0.7407569071	0.5810360808
178	0.7408576362	0.5809297593
